# Dutch-English curated course for A0-A2, ordered by increasing difficulty.
# Columns: batch<TAB>level<TAB>nl<TAB>en
batch	level	nl	en
97	A2	Fijn weekend	Have a nice weekend
97	A2	Beterschap	Get well soon
97	A2	Succes	Good luck
97	A2	Veel plezier	Have fun
97	A2	Eet smakelijk	Enjoy your meal
98	A2	een fout maken	to make a mistake
98	A2	een keuze maken	to make a choice
98	A2	een vraag stellen	to ask a question
98	A2	antwoord geven	to give an answer
98	A2	hulp vragen	to ask for help
98	A2	contact opnemen	to contact
98	A2	rekening houden met	to take into account
98	A2	op bezoek gaan	to visit someone
98	A2	boodschappen halen	to get groceries
98	A2	de tijd nemen	to take the time
99	A2	Dat komt goed	It will be fine
99	A2	Dat maakt niet uit	It does not matter
99	A2	Ik weet het niet zeker	I am not sure
99	A2	Ik kom eraan	I am on my way
99	A2	Ik ben onderweg	I am on the way
99	A2	Het maakt mij niet uit	I do not mind
99	A2	Dat hangt ervan af	It depends
99	A2	Ik heb geen idee	I have no idea
99	A2	Dat is jammer	That is a pity
99	A2	Gelukkig maar	Good thing / thankfully
100	A2	Ik leer Nederlands	I am learning Dutch
100	A2	Ik spreek een beetje Nederlands	I speak a little Dutch
100	A2	Kunt u Engels spreken?	Can you speak English?
100	A2	Ik zoek de juiste woorden	I am looking for the right words
100	A2	Ik begrijp de vraag	I understand the question
100	A2	Ik wil graag oefenen	I would like to practice
100	A2	Ik maak soms fouten	I sometimes make mistakes
100	A2	Kunt u mij verbeteren?	Can you correct me?
100	A2	Dit woord ken ik	This word I know
100	A2	Dit woord is nieuw	This word is new
